N Facture;Date Facture;Identifiant Fiscale;Nom Fournisseur; Montant HT ; Taux Tva ; Montant Tva ;Mode Reglement;N Reglement;Designation;Date Paiement;ICE;
FA°1606112;01/01/2017;1020141;MAROC LAMINAGE; 11 230,00   ; 20 ; 2 246,00   ;EFFET;LC°4653763;SUPPORT D'IMPRESSION;31/01/2018;000084679000054;ACHAT
FA°168144;01/01/2017;4100678;CHAMIONG; 5 080,00   ; 20 ; 1 016,00   ;EFFET;LC°4653766;SUPPORT D'IMPRESSION;15/01/2018;000064673000023;ACHAT
FA°168728;01/01/2017;4100678;CHAMIONG; 46 000,00   ; 20 ; 9 200,00   ;EFFET;LC°4653766;SUPPORT D'IMPRESSION;15/01/2018;000064673000023;ACHAT
FA°26578;27/09/2017;40126522;IMARAQ; 6 961,00   ; 20 ; 1 392,20   ;EFFET;LC°4653777;SUPPORT D'IMPRESSION;02/01/2018;000229913000058;ACHAT
FA°FN2710297;19/08/2017;1001802;ALUMETAUX; 1 354,78   ; 20 ; 270,96   ;CHEQUE;CH°914371;SUPPORT D'IMPRESSION;02/01/2018;000084244000062;ACHAT
FA°FN2710994;20/12/2017;1001802;ALUMETAUX; 43 054,82   ; 20 ; 8 610,96   ;CHEQUE;CH°914371;SUPPORT D'IMPRESSION;02/01/2018;000084244000062;ACHAT
FA°FN2710791;11/09/2017;1001802;ALUMETAUX; 26 316,00   ; 20 ; 5 263,20   ;CHEQUE;CH°914384;SUPPORT D'IMPRESSION;02/01/2018;000084244000062;ACHAT
FA°057/17;03/11/2017;1960274;ATCAM; 13 434,40   ; 20 ; 2 686,88   ;CHEQUE;CH°797671;ACHAT MATIERES;30/01/2018;000013425000014;ACHAT
FA°20180058;08/11/2017;2500619;LA MAROCAINES DES TENTES ET BACHES; 2 000,00   ; 20 ; 400,00   ;CHEQUE;CH°797635;ACHAT FRNT BUREAU;15/01/2018;000084423000079;ACHAT
FA°15-00-026095;10/01/2018;2202961;BRICOT INVEST; 4 770,75   ; 20 ; 954,15   ;CHEQUE;CH°797625;ACHAT GAZON;15/01/2018;001525045000091;ACHAT
FA°20170528;31/03/2017;1642062;OUASSAD NEGOCE; 2 500,00   ; 20 ; 500,00   ;CHEQUE;CH°914437;ACHAT CONSO INFOR;03/01/2018;000090997000091;ACHAT
FA°L180105563;01/01/2018;1085125;MAGHREBAIL; 5 620,34   ; 20 ; 1 124,07   ;PRELEVMENT;PRELEV;LEASING;10/01/2018;001529688000054;PS
